수술코드1,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,2,2,2,1,1,1,2,2,2,2,3,3,2,1,2,2,2,1,1,1,1,5,6,6,7,7,5,4,4,4,4,4,4,4,2,6,6,6,4,3,2,2,2,0,1,1,1,1,0,4,4,6,5,4,2,2,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,4,5,5,2,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,3,5,5,5,4,4,4,0,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,5,4,7,5,5,3,4,4,3,3,3,1,1,4,7,6,6,4,3,2,6,4,4,4,4,4,4,5,2,2,2,1,1,0,2,2,2,4,4,4,10,14,12,10,10,7,6,6,7,7,3,3,3,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,1,3,3,3,3,3,0,1,2,3,3,3,3,2,2,4,7,7,7,7,6,2,5,4,4,4,4,4,4,7,5,5,5,5,5,5,6,2,2,4,4,4,3,2,2,1,1,1,1,1
77,0,0,0,0,0,1,3,3,4,4,4,5,6,5,4,3,2,2,1,0,0,0,0,0,0,1,1,2,2,2,1,1,0,1,1,2,2,2,1,1,1,0,0,1,1,1,1,3,2,2,2,2,2,2,2,3,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,2,1,1,3,5,5,5,4,5,4,4,4,4,3,2,2,2,2,3,3,3,3,3,2,2,2,4,4,4,3,4,5,5,5,5,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,1,1,2,2,2,1,0,2,2,3,2,2,3,3,3,2,2,1,1,0,0,2,2,2,2,2,3,2,3,5,5,3,3,2,6,7,7,6,6,2,2,5,5,4,4,4,1,1,3,4,4,5,5,5,6,4,4,3,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,1,3,2,2,2,3,1,1,2,2,2,2,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,2,2,3,4,5,3,2,1
78,2,2,2,2,1,2,3,2,2,1,1,2,2,1,1,1,0,0,1,1,1,2,2,2,1,2,2,4,4,3,1,1,2,4,5,6,5,4,3,2,2,3,3,4,3,2,3,8,8,4,3,2,1,3,3,3,1,1,1,1,0,0,0,2,2,2,2,3,1,3,3,3,2,1,4,6,7,4,4,4,2,2,5,7,6,6,3,3,2,2,2,2,2,2,1,1,1,1,3,4,4,3,3,5,5,5,5,4,3,3,4,5,8,5,5,2,2,2,1,1,0,0,0,0,1,1,2,2,2,2,2,3,6,5,6,3,3,3,2,1,1,2,2,2,2,2,3,2,2,2,1,2,4,5,6,6,2,2,2,3,4,3,2,1,0,0,0,1,2,2,2,0,0,1,4,5,5,3,3,2,2,2,1,0,0,0,0,3,3,5,4,4,3,4,5,6,9,8,8,6,6,7,3,4,3,3,3,3,2,3,5,4,4,4,2,2,3,5,4,3,2,2,2,3,5,4,3,2,3,4,1,4,4,3,3,1,1,1,0,1,1,1,1
79,0,0,0,0,1,1,1,2,3,3,2,3,3,5,4,3,2,2,1,1,1,2,2,2,2,1,1,1,2,3,3,2,4,3,2,2,0,0,0,1,1,2,2,3,3,3,3,2,1,2,3,4,7,7,7,6,6,5,5,4,4,4,2,3,3,4,3,5,5,3,2,3,2,3,2,4,5,4,5,4,5,6,6,7,7,8,8,8,7,4,4,5,6,5,6,6,7,6,6,6,5,4,4,4,4,4,4,4,4,4,4,3,3,1,0,0,1,1,1,2,2,2,2,1,3,3,4,6,5,5,4,4,3,2,2,2,2,2,2,1,0,1,1,1,1,1,2,3,4,5,5,7,7,6,5,5,5,4,3,3,3,1,1,2,1,1,2,2,4,3,3,3,2,2,1,1,2,3,3,4,5,7,6,5,5,4,4,4,5,6,6,4,2,3,2,3,4,7,6,4,3,2,0,0,2,2,4,3,3,3,3,5,5,5,3,3,4,2,2,2,2,1,1,1,1,2,1,1,2,2,3,3,3,3,3,3,3,3,1,1,2,2,1
80,2,3,3,3,2,2,2,4,4,2,2,1,2,7,7,7,5,1,6,10,11,14,14,7,4,12,14,19,18,13,3,1,8,10,17,16,10,6,4,4,8,13,16,15,10,6,5,8,12,8,7,5,5,7,9,13,11,9,8,5,4,2,2,3,3,3,3,7,6,9,6,8,7,4,7,8,15,11,17,17,13,12,17,15,11,10,2,0,7,7,12,12,12,5,3,2,7,10,12,11,6,6,11,9,11,16,16,13,10,10,9,11,13,14,12,9,6,7,5,4,6,3,3,7,9,11,16,15,11,11,12,7,14,12,13,7,4,10,10,17,14,16,9,5,5,9,12,11,13,10,10,9,15,21,19,20,10,6,9,14,19,18,22,18,14,9,10,7,7,7,6,2,3,3,8,17,20,13,11,11,7,4,6,11,11,10,6,9,9,7,10,9,9,9,11,11,15,15,12,4,13,21,21,22,19,17,10,15,14,10,10,14,11,7,9,13,16,15,15,11,5,9,12,19,19,25,20,18,11,17,8,11,10,9,6,7,10,13,15,13,7,3,1
81,2,9,9,10,16,21,23,23,29,25,25,25,25,28,29,29,29,27,27,28,30,27,28,25,23,27,27,29,27,25,22,18,22,26,26,24,20,22,20,22,22,23,23,31,29,27,28,30,31,29,28,28,24,21,23,24,20,22,20,18,14,13,13,16,19,15,11,15,19,23,25,26,22,18,20,22,28,30,35,35,34,31,30,30,30,34,30,27,32,32,30,32,30,24,20,24,29,24,21,26,23,22,23,27,32,31,31,31,28,24,26,31,34,32,30,26,23,25,26,29,33,31,29,33,30,32,31,32,28,24,27,27,28,25,31,30,27,32,39,42,40,47,42,40,36,40,38,34,32,30,25,26,28,29,23,30,24,18,23,26,31,30,31,29,26,23,28,27,22,25,24,23,26,28,27,27,28,27,24,24,30,23,20,26,25,24,20,22,29,26,30,28,27,26,27,29,29,27,24,20,23,27,27,31,31,28,23,28,30,24,23,23,18,15,21,25,25,27,32,29,25,29,30,35,30,33,30,28,26,30,28,28,30,30,25,25,25,21,18,15,12,8,4
82,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0
83,0,0,0,0,1,2,2,4,6,6,6,3,4,4,3,3,3,1,2,3,3,1,1,0,0,4,4,4,3,3,3,3,5,5,4,5,7,7,5,4,5,4,4,4,3,3,2,5,7,6,6,6,6,7,7,7,4,3,3,2,2,2,2,3,3,3,2,1,2,3,3,2,2,1,2,5,5,4,11,11,8,7,8,3,2,2,1,1,1,1,2,2,3,3,3,3,6,8,10,11,8,7,6,6,5,3,3,3,3,0,1,1,4,7,6,6,6,7,4,4,4,1,1,2,2,2,4,5,5,5,5,3,2,2,2,2,1,0,2,4,5,6,6,2,2,5,6,6,7,4,4,2,8,11,11,14,9,6,5,11,11,11,15,15,10,7,4,1,1,0,0,0,0,3,5,12,13,12,12,10,4,1,4,8,8,7,4,5,2,4,4,4,4,4,6,6,7,10,10,5,5,9,6,8,12,11,9,10,18,13,13,17,15,13,12,11,10,12,10,10,7,5,3,7,9,12,12,10,5,8,5,5,5,5,2,2,3,3,3,6,6,4,3
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,27,27,26,26,26,26,35,35,35,41,43,43,42,42,42,42,42,44,44,43,43,41,41,42,39,39,39,39,39,39,41,40,40,40,40,40,40,40,40,40,41,41,18,13,13,13,13,13,4,3,3,3,3,4,4,2,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,1,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,6,6,6,6,6,7,6,6,6,5,5,5,6,6,6,6,6,7,7,4,5,5,5,5,5,4,2,2,2,2,3,3,3,2,2,3,3,3,3,4,4,3,3,3,3,3,2,2,2,4,4,4,3,3,3,1,2,3,3,3,2,2,2,3,3,3,3,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,10,10,10,10,11,11,11,12,10,10,9,9,9,5,2,2,1,1,1,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
